Hexanchus griseus
Hypsolebias antenori
Trichomycterus jacupiranga
Pamphorichthys pertapeh
Moenkhausia diamantina
Delturus carinotus
Hypsolebias delucai
Pareiorhaphis cameroni
Astyanax brachypterygium
Myxiops aphos
Bryconamericus patriciae
Trichomycterus caudofasciatus
Steindachneridion amblyurum
Crenicichla tingui
Parotocinclus cearensis
Hypostomus luetkeni
Trichomycterus itacambirussu
Phalloceros leptokeras
Bryconamericus megalepis
Pseudopimelodus charus
Pareiorhaphis stomias
Isbrueckerichthys duseni
Rhamdia enfurnada
Australoheros macaensis
Hemipsilichthys nimius
Phenacogaster calverti
Lignobrycon myersi
Pimelodella pectinifer
Atlantirivulus santensis
Macropsobrycon uruguayanae
Prochilodus costatus
Melanorivulus formosensis
Cynolebias vazabarrisensis
Neoplecostomus corumba
Otothyris travassosi
Characidium zebra
Heterocheirodon yatai
Hisonotus megaloplax
Psellogrammus kennedyi
Hypsolebias trilineatus
Characidium lauroi
Hemiancistrus megalopteryx
Schizodon borellii
Crenicichla britskii
Hypostomus vermicularis
Galeocharax humeralis
Leporellus vittatus
Rhamdia jequitinhonha
Copionodon orthiocarinatus
Henochilus wheatlandii
Hisonotus notatus
Steindachneridion scriptum
Rineloricaria nigricauda
Brycon insignis
Pimelodella dorseyi
Brycon vermelha
Rhamdella eriarcha
Characidium rachovii
Atlantirivulus luelingi
Pareiorhaphis azygolechis
Hemigrammus parana
Matilebias paucisquama
Australoheros forquilha
Hypostomus heraldoi
Hypsolebias adornatus
Leporinus taeniatus
Trichomycterus candidus
Parotocinclus bahiensis
Gymnogeophagus lacustris
Crenicichla mucuryna
Hypostomus scabriceps
Hypostomus agna
Loricariichthys derbyi
Cyphocharax modestus
Trichomycterus pradensis
Deuterodon stigmaturus
Oligosarcus paranensis
Atlantirivulus unaensis
Hypsolebias auratus
Kalyptodoras bahiensis
Zungaro jahu
Rachoviscus graciliceps
Apareiodon ibitiensis
Psalidodon fasciatus
Hyphessobrycon balbus
Moenkhausia justae
Atlantirivulus jurubatibensis
Atlantirivulus riograndensis
Rineloricaria langei
Phenacogaster franciscoensis
Hemiodus parnaguae
Melanorivulus punctatus
Astyanax scabripinnis
Hypostomus topavae
Serrasalmus maculatus
Mimagoniates inequalis
Jenynsia eirmostigma
Cyphocharax gilbert
Astyanax giton
Hasemania hanseni
Hypsolebias ghisolfii
Acestrorhynchus lacustris
Hyphessobrycon eques
Melanorivulus rossoi
Rhinelepis aspera
Melanorivulus illuminatus
Bryconamericus turiuba
Hasemania crenuchoides
Phalloceros malabarbai
Characidium xanthopterum
Megaleporinus reinhardti
Pamphorichthys hollandi
Callichthys callichthys
Hemiancistrus punctulatus
Phalloceros caudimaculatus
Platanichthys platana
Mimagoniates lateralis
Trichomycterus jequitinhonhae
Gymnotus chimarrao
Pseudotatia parva
Hypsolebias magnificus
Cambeva zonata
Characidium pterostictum
Pimelodella itapicuruensis
Serrapinnus calliurus
Schizodon jacuiensis
Hypomasticus thayeri
Trachelyopterus striatulus
Pareiorhaphis eurycephalus
Pareiorhaphis stephanus
Phalloceros tupinamba
Astyanax microschemos
Hisonotus laevior
Garcialebias arachan
Microglanis cottoides
Simpsonichthys parallelus
Rhamdella exsudans
Deuterodon pedri
Rineloricaria anhaguapitan
Isbrueckerichthys epakmos
Rineloricaria aequalicuspis
Pseudauchenipterus flavescens
Characidium orientale
Trachelyopterus galeatus
Cynopotamus kincaidi
Hypostomus auroguttatus
Hypostomus ternetzi
Astyanax totae
Bryconamericus lambari
Poecilia vivipara
Corydoras garbei
Aspidoras virgulatus
Simpsonichthys zonatus
Parodon moreirai
Melanorivulus vittatus
Hypsolebias nielseni
Isbrueckerichthys alipionis
Harttia gracilis
Crenicichla tendybaguassu
Scleromystax prionotos
Pareiorhaphis nudulus
Astyanax bimaculatus
Cichlasoma portalegrense
Cambeva concolor
Orthospinus franciscensis
Hypsolebias flavicaudatus
Heptapterus stewarti
Piabina argentea
Bunocephalus doriae
Jenynsia sanctaecatarinae
Hyphessobrycon flammeus
Pseudauchenipterus jequitinhonhae
Crenicichla iguapina
Crenicichla punctata
Pimelodus absconditus
Phalloceros titthos
Phalloceros harpagos
Megalebias wolterstorffi
Cyphocharax spilotus
Rineloricaria cadeae
Hypostomus brevis
Diapoma alburnum
Pareiorhaphis splendens
Atlantirivulus haraldsiolii
Corydoras nattereri
Xenurolebias izecksohni
Paragenidens grandoculis
Pimelodella meeki
Bryconamericus ornaticeps
Hypsolebias mediopapillatus
Cyphocharax santacatarinae
Garcialebias nachtigalli
Cnesterodon hypselurus
Psalidodon gymnogenys
Diapoma speculiferum
Australoheros paraibae
Pimelodella rudolphi
Bryconamericus lethostigmus
Schizodon nasutus
Garcialebias nigrofasciatus
Crenicichla yaha
Hasemania melanura
Homodiaetus passarellii
Kronichthys subteres
Bryconamericus uporas
Acinocheirodon melanogramma
Bagropsis reinhardti
Otothyris juquiae
Hypostomus aspilogaster
Otothyris lophophanes
Kronichthys lacerta
Hypsolebias fulminantis
Probolodus heterostomus
Spintherobolus ankoseion
Hemigrammus marginatus
